Birth Card,AGE,Mercury,Venus,Mars,Jupiter,Saturn ,Uranus,Neptune,LONG RANGE,PLUTO,RESULT,SUPPORT,DEVELOPMENT
J♠,16,3♥,K♣,2♠,6♦,4♣,8♣,K♦,A♣,3♦,A♠,4♣,K♥
J♠,17,Q♥,7♥,9♦,9♠,10♠,Q♠,6♦,Q♠,4♥,3♣,6♥,2♣
J♠,18,7♣,7♦,9♠,J♥,7♠,4♥,2♥,9♣,4♠,10♦,3♦,A♠
J♠,19,9♥,6♠,J♥,8♥,10♠,A♣,4♥,6♥,Q♠,2♦,Q♦,7♥
J♠,20,J♣,9♣,8♥,5♦,3♦,K♠,5♥,9♦,A♣,5♣,9♦,8♥
J♠,21,10♠,J♦,9♠,7♠,8♠,3♠,10♣,4♦,10♥,6♦,5♦,7♠
J♠,22,3♥,A♥,4♦,3♣,8♣,K♥,7♠,K♦,K♣,3♦,3♣,K♦
J♠,23,6♠,7♦,3♣,7♣,9♦,K♣,8♦,A♠,4♠,9♣,K♦,3♣
J♠,24,5♦,8♠,7♣,4♥,6♦,5♠,K♣,6♠,A♠,A♦,7♠,5♦
J♠,25,10♠,3♠,4♦,8♠,2♣,A♥,5♠,2♦,Q♥,5♣,8♥,9♦
J♠,26,Q♣,4♥,8♠,9♥,8♥,4♠,K♦,5♠,2♦,10♣,7♥,Q♦
J♠,27,J♦,3♠,9♥,3♥,J♥,K♣,5♠,9♣,A♣,10♥,A♠,3♦
J♠,28,7♣,Q♦,2♣,8♣,6♣,9♠,3♥,A♥,7♠,6♥,2♣,6♥
J♠,29,9♦,K♥,8♣,2♦,6♠,Q♣,8♥,Q♠,3♦,3♣,K♥,4♣
J♠,30,4♥,5♠,10♥,7♦,Q♠,J♥,2♦,10♦,5♣,2♥,9♠,5♣
J♠,31,3♠,3♥,7♦,9♠,6♦,2♣,10♦,K♦,9♣,J♣,6♠,5♥
J♠,32,Q♦,5♠,3♣,3♦,A♦,K♣,9♠,3♦,K♠,7♥,2♠,4♦
J♠,33,J♥,3♥,3♦,A♣,6♥,10♥,Q♥,7♥,10♠,7♠,K♣,5♠
J♠,34,9♠,K♦,A♠,7♥,3♠,4♥,10♥,5♠,Q♠,9♥,8♠,10♥
J♠,35,J♣,5♥,3♦,K♦,7♣,A♥,4♥,J♦,3♣,5♣,6♣,J♣
J♠,36,3♥,10♠,K♦,4♣,7♥,3♣,10♦,9♦,A♦,8♠,2♦,J♦
J♠,37,7♦,2♦,4♦,8♠,4♠,5♠,4♣,K♦,9♦,8♥,A♦,3♠
J♠,38,Q♣,10♠,8♠,A♠,6♠,9♠,5♠,2♠,6♦,5♣,A♥,6♦
J♠,39,7♠,A♣,K♦,6♥,10♥,J♣,9♠,6♠,3♥,8♣,3♥,9♣
J♠,40,10♦,A♥,K♠,8♠,A♣,6♣,7♣,9♥,J♣,4♦,Q♣,Q♥
J♠,41,10♥,5♥,K♦,3♣,9♥,3♠,J♥,6♥,4♠,7♥,10♦,10♠
J♠,42,J♣,K♥,3♣,2♠,2♣,4♠,8♦,A♣,Q♣,K♠,Q♠,4♥
J♠,43,J♦,3♥,2♠,2♦,6♣,6♥,5♠,10♣,9♦,9♣,8♦,4♠
J♠,44,Q♠,K♠,A♥,A♣,3♥,4♥,5♥,J♣,6♥,7♥,7♣,10♣
J♠,45,8♣,6♦,4♠,10♥,10♦,8♠,A♥,5♦,A♦,Q♦,J♠,J♠
J♠,46,3♣,8♦,10♥,5♦,8♥,K♥,8♠,7♠,J♣,10♠,10♣,7♣
J♠,47,K♠,10♦,2♥,Q♠,9♣,6♥,9♦,K♣,K♥,2♣,4♠,8♦
J♠,48,4♦,K♦,A♠,6♠,2♦,5♠,9♣,2♠,4♣,6♣,4♥,Q♠
J♠,49,A♥,Q♠,10♦,K♦,3♦,7♥,5♠,7♣,7♦,4♥,10♠,10♦
J♠,50,J♦,9♦,K♦,2♠,6♠,7♦,6♥,7♥,J♥,10♥,Q♥,Q♣
J♠,51,2♥,10♣,J♣,5♦,7♠,K♣,2♠,5♦,9♥,3♦,9♣,3♥
J♠,52,7♣,7♥,5♦,K♥,5♣,9♥,9♣,K♥,2♣,10♠,6♦,A♥
J♠,53,A♠,3♣,9♠,4♣,7♦,6♦,K♥,5♣,Q♥,3♦,3♠,A♦
J♠,54,J♦,8♣,4♣,10♥,9♦,Q♥,8♦,7♦,4♠,10♣,J♦,2♦
J♠,55,10♦,5♣,10♥,3♠,K♠,10♠,2♥,9♣,Q♥,5♥,J♣,6♣
J♠,56,10♠,4♥,9♠,8♥,K♣,Q♦,9♥,A♠,J♣,2♠,10♥,8♠
J♠,57,5♦,5♣,8♥,7♣,A♦,4♠,8♦,3♣,6♥,4♦,5♠,K♣
J♠,58,A♥,4♥,7♣,3♦,5♥,10♥,K♠,9♠,6♦,A♣,4♦,2♠
J♠,59,Q♦,5♣,5♠,K♠,3♠,2♥,J♦,4♣,3♦,K♥,5♥,6♠
J♠,60,2♥,7♣,A♥,2♠,6♠,9♣,5♣,9♥,8♣,3♣,5♣,9♠
J♠,61,3♥,K♣,2♠,6♦,4♣,8♣,K♦,6♦,3♦,A♠,4♣,K♥
J♠,62,Q♥,7♥,9♦,9♠,10♠,Q♠,6♦,K♥,4♥,3♣,6♥,2♣
J♠,63,7♣,9♥,9♠,J♥,7♠,4♥,A♣,J♦,4♠,10♦,3♦,A♠
J♠,64,7♦,6♠,J♥,8♥,10♠,2♥,4♥,8♣,Q♠,2♦,Q♦,7♥
J♠,65,J♣,9♣,8♥,5♦,3♦,K♠,5♥,4♣,2♥,5♣,9♦,8♥
J♠,66,10♠,J♦,9♠,7♠,8♠,3♠,10♣,10♥,10♥,6♦,5♦,7♠
J♠,67,3♥,A♥,4♦,3♣,8♣,K♥,7♠,9♦,K♣,3♦,3♣,K♦
J♠,68,6♠,9♥,3♣,7♣,9♦,K♣,8♦,Q♥,4♠,9♣,K♦,3♣
J♠,69,5♦,8♠,7♣,4♥,6♦,5♠,K♣,8♦,A♠,A♦,7♠,5♦
J♠,70,10♠,3♠,4♦,8♠,2♣,A♥,5♠,10♦,Q♥,5♣,8♥,9♦
J♠,71,Q♣,4♥,8♠,7♦,8♥,4♠,K♦,5♣,2♦,10♣,7♥,Q♦
J♠,72,J♦,3♠,7♦,3♥,J♥,K♣,5♠,10♥,2♥,10♥,A♠,3♦
J♠,73,7♣,Q♦,2♣,8♣,6♣,9♠,3♥,3♠,7♠,6♥,2♣,6♥
J♠,74,9♦,K♥,8♣,2♦,6♠,Q♣,8♥,K♠,3♦,3♣,K♥,4♣
J♠,75,4♥,5♠,10♥,9♥,Q♠,J♥,2♦,10♠,5♣,A♣,9♠,5♣
J♠,76,3♠,3♥,9♥,9♠,6♦,2♣,10♦,A♣,9♣,J♣,6♠,5♥
J♠,77,Q♦,5♠,3♣,3♦,A♦,K♣,9♠,10♠,K♠,7♥,2♠,4♦
J♠,78,J♥,3♥,3♦,2♥,6♥,10♥,Q♥,4♥,10♠,7♠,K♣,5♠
J♠,79,9♠,K♦,A♠,7♥,3♠,4♥,10♥,9♠,Q♠,7♦,8♠,10♥
J♠,80,J♣,5♥,3♦,K♦,7♣,A♥,4♥,8♥,3♣,5♣,6♣,J♣
J♠,81,3♥,10♠,K♦,4♣,7♥,3♣,10♦,K♣,A♦,8♠,2♦,J♦
J♠,82,9♥,2♦,4♦,8♠,4♠,5♠,4♣,Q♦,9♦,8♥,A♦,3♠
J♠,83,Q♣,10♠,8♠,A♠,6♠,9♠,5♠,7♦,6♦,5♣,A♥,6♦
J♠,84,7♠,2♥,K♦,6♥,10♥,J♣,9♠,5♦,3♥,8♣,3♥,9♣
J♠,85,10♦,A♥,K♠,8♠,2♥,6♣,7♣,5♣,J♣,4♦,Q♣,Q♥
J♠,86,10♥,5♥,K♦,3♣,7♦,3♠,J♥,8♥,4♠,7♥,10♦,10♠
J♠,87,J♣,K♥,3♣,2♠,2♣,4♠,8♦,7♣,Q♣,K♠,Q♠,4♥
J♠,88,J♦,3♥,2♠,2♦,6♣,6♥,5♠,A♦,9♦,9♣,8♦,4♠
J♠,89,Q♠,K♠,A♥,2♥,3♥,4♥,5♥,4♠,6♥,7♥,7♣,10♣
J♠,90,8♣,6♦,4♠,10♥,10♦,8♠,A♥,8♦,A♦,Q♦,J♠,J♠
Q♥,0,10♣,8♦,K♠,3♥,A♣,Q♣,10♠,10♣,5♣,3♦,Q♥,Q♥
Q♥,1,4♣,Q♦,2♣,A♠,9♥,4♦,J♥,8♦,6♦,6♠,9♣,10♠
Q♥,2,5♣,8♠,A♠,A♦,K♣,6♦,4♥,K♠,J♠,K♠,6♦,4♥
Q♥,3,5♥,7♣,A♦,10♦,Q♣,3♣,6♥,3♥,8♥,10♥,3♠,4♠
Q♥,4,4♠,K♠,8♦,A♣,7♣,3♠,Q♦,A♣,3♣,6♠,J♦,10♣
Q♥,5,8♣,5♠,6♦,4♣,10♣,3♥,8♦,Q♣,Q♠,7♠,J♣,J♠
Q♥,6,A♠,4♥,4♣,7♥,9♠,8♠,3♥,10♠,5♣,J♦,10♥,7♣
Q♥,7,K♠,10♣,2♥,4♠,10♥,3♣,8♥,4♣,8♠,K♣,5♠,8♦
Q♥,8,3♦,2♣,2♠,2♦,10♦,6♥,10♥,Q♦,5♦,Q♣,4♦,Q♠
Q♥,9,8♦,4♠,10♣,2♣,K♦,6♠,6♥,2♣,7♦,3♠,5♥,10♦
Q♥,10,5♥,8♥,2♣,A♦,2♦,7♦,3♣,A♠,J♥,4♣,5♣,Q♣
Q♥,11,2♥,9♣,5♣,7♥,K♥,A♥,A♦,9♥,9♥,K♦,4♣,3♥
Q♥,12,10♠,6♠,7♥,8♠,9♦,9♥,10♥,4♦,K♣,J♦,6♥,A♥
Q♥,13,2♠,A♠,6♣,5♦,7♦,5♠,8♠,J♥,J♣,K♦,3♦,A♦
Q♥,14,5♥,8♣,5♦,4♣,8♥,J♣,4♥,5♣,6♦,9♣,Q♦,2♦
Q♥,15,10♣,9♦,4♣,4♦,K♠,J♦,2♥,8♠,J♣,Q♦,9♦,6♣
Q♥,16,J♦,3♠,6♣,9♠,A♥,7♠,9♥,A♠,5♣,A♦,5♦,8♠
Q♥,17,7♥,9♦,9♠,10♠,Q♠,6♦,4♥,A♦,3♣,3♦,3♣,K♣
Q♥,18,8♦,3♠,10♠,K♦,Q♦,4♣,K♠,K♣,5♠,A♣,K♦,2♠
Q♥,19,7♠,9♦,6♥,K♠,4♦,2♥,5♥,6♦,K♦,8♠,7♠,6♠
Q♥,20,2♥,10♠,8♦,A♦,2♦,10♥,9♦,4♥,8♣,A♠,8♥,9♠
Q♥,21,7♣,A♥,A♦,5♠,5♦,8♣,2♣,5♥,K♦,2♠,7♥,K♥
Q♥,22,J♣,6♠,8♥,6♣,J♦,4♠,5♠,7♣,3♠,A♠,A♠,2♣
Q♥,23,10♠,9♥,6♣,J♥,K♥,3♠,A♣,A♦,6♦,10♣,2♣,A♠
Q♥,24,7♦,2♦,J♥,9♠,J♦,2♥,3♠,10♦,4♠,10♦,K♥,7♥
Q♥,25,5♣,10♥,9♠,7♥,K♦,K♠,Q♦,Q♣,2♥,9♦,9♠,8♥
Q♥,26,J♦,5♥,6♣,K♥,3♥,4♦,9♣,3♣,4♣,5♠,6♠,7♠
Q♥,27,7♣,8♦,3♦,A♠,8♣,8♠,K♥,6♥,A♥,K♦,2♠,K♦
Q♥,28,2♦,9♥,A♠,10♠,8♥,A♥,4♥,4♠,6♦,10♥,K♣,3♣
Q♥,29,7♥,3♥,10♠,3♠,5♠,6♥,A♥,K♠,2♠,Q♠,8♠,5♦
Q♥,30,J♦,4♦,3♦,3♥,K♣,8♦,6♥,8♦,J♣,9♦,6♣,9♦
Q♥,31,J♠,3♠,3♥,7♦,9♠,6♦,2♣,A♣,10♦,9♣,2♦,Q♦
Q♥,32,5♥,4♦,7♦,7♣,J♥,A♥,6♥,7♣,2♥,4♣,A♦,3♦
Q♥,33,10♠,7♠,K♣,8♣,Q♣,6♣,7♣,3♠,K♥,3♣,A♥,6♥
Q♥,34,8♥,8♠,8♣,10♦,2♦,J♠,9♠,Q♦,K♦,A♠,3♥,4♣
Q♥,35,3♠,6♥,4♣,9♥,4♠,J♥,10♦,8♣,9♦,A♣,Q♣,5♣
Q♥,36,4♦,7♣,9♥,6♣,5♠,K♣,10♣,5♠,10♥,5♣,10♦,5♥
Q♥,37,7♠,6♥,A♠,K♦,Q♠,A♥,6♣,6♦,K♠,6♠,Q♠,4♦
Q♥,38,J♥,7♣,K♦,2♥,3♣,4♣,J♣,4♣,J♦,K♥,8♦,5♠
Q♥,39,6♣,2♣,2♠,6♠,4♦,3♠,4♣,10♣,4♠,7♦,7♣,10♥
Q♥,40,5♣,Q♦,K♦,2♣,10♠,8♦,3♠,3♥,A♠,9♦,J♠,J♣
Q♥,41,7♣,J♦,2♣,5♦,6♠,A♠,10♣,8♦,Q♠,3♥,10♣,J♦
Q♥,42,9♥,10♦,3♦,3♥,6♦,6♥,5♦,A♠,8♥,9♠,4♠,3♠
Q♥,43,J♠,J♦,3♥,2♠,2♦,6♣,6♥,4♥,5♠,9♦,4♥,6♦
Q♥,44,K♥,2♥,2♣,3♣,4♣,5♣,6♣,4♣,7♣,8♣,10♠,9♣
Q♥,45,10♣,8♦,K♠,3♥,2♥,Q♣,10♠,7♥,5♣,3♦,Q♥,Q♥
Q♥,46,4♣,Q♦,2♣,A♠,7♦,4♦,J♥,9♠,6♦,6♠,9♣,10♠
Q♥,47,5♣,8♠,A♠,A♦,K♣,6♦,4♥,8♠,J♠,K♠,6♦,4♥
Q♥,48,5♥,7♣,A♦,10♦,Q♣,3♣,6♥,3♥,8♥,10♥,3♠,4♠
Q♥,49,4♠,K♠,8♦,2♥,7♣,3♠,Q♦,K♠,3♣,6♠,J♦,10♣
Q♥,50,8♣,5♠,6♦,4♣,10♣,3♥,8♦,10♣,Q♠,7♠,J♣,J♠
Q♥,51,A♠,4♥,4♣,7♥,9♠,8♠,3♥,2♥,5♣,J♦,10♥,7♣
Q♥,52,K♠,10♣,A♣,4♠,10♥,3♣,8♥,4♠,8♠,K♣,5♠,8♦
Q♥,53,3♦,2♣,2♠,2♦,10♦,6♥,10♥,10♥,5♦,Q♣,4♦,Q♠
Q♥,54,8♦,4♠,10♣,2♣,K♦,6♠,6♥,3♣,9♥,3♠,5♥,10♦
Q♥,55,5♥,8♥,2♣,A♦,2♦,9♥,3♣,8♥,J♥,4♣,5♣,Q♣
Q♥,56,A♣,9♣,5♣,7♥,K♥,A♥,A♦,3♦,7♦,K♦,4♣,3♥
Q♥,57,10♠,6♠,7♥,8♠,9♦,7♦,10♥,2♣,K♣,J♦,6♥,A♥
Q♥,58,2♠,A♠,6♣,5♦,9♥,5♠,8♠,2♠,J♣,K♦,3♦,A♦
Q♥,59,5♥,8♣,5♦,4♣,8♥,J♣,4♥,2♦,6♦,9♣,Q♦,2♦
Q♥,60,10♣,9♦,4♣,4♦,K♠,J♦,A♣,10♦,J♣,Q♦,9♦,6♣
Q♥,61,J♦,3♠,6♣,9♠,A♥,7♠,7♦,6♥,5♣,A♦,5♦,8♠
Q♥,62,7♥,9♦,9♠,10♠,Q♠,6♦,4♥,10♥,3♣,3♦,3♣,K♣
Q♥,63,8♦,3♠,10♠,K♦,Q♦,4♣,K♠,8♦,5♠,2♥,K♦,2♠
Q♥,64,7♠,9♦,6♥,K♠,4♦,A♣,5♥,4♠,K♦,8♠,7♠,6♠
Q♥,65,A♣,10♠,8♦,A♦,2♦,10♥,9♦,10♣,8♣,A♠,8♥,9♠
Q♥,66,7♣,A♥,A♦,5♠,5♦,8♣,2♣,2♣,K♦,2♠,7♥,K♥
Q♥,67,J♣,6♠,8♥,6♣,J♦,4♠,5♠,K♦,3♠,A♠,A♠,2♣
Q♥,68,10♠,7♦,6♣,J♥,K♥,3♠,2♥,6♠,6♦,10♣,2♣,A♠
Q♥,69,9♥,2♦,J♥,9♠,J♦,A♣,3♠,6♥,4♠,10♦,K♥,7♥
Q♥,70,5♣,10♥,9♠,7♥,K♦,K♠,Q♦,5♥,A♣,9♦,9♠,8♥
Q♥,71,J♦,5♥,6♣,K♥,3♥,4♦,9♣,8♥,4♣,5♠,6♠,7♠
Q♥,72,7♣,8♦,3♦,A♠,8♣,8♠,K♥,2♣,A♥,K♦,2♠,K♦
Q♥,73,2♦,7♦,A♠,10♠,8♥,A♥,4♥,A♦,6♦,10♥,K♣,3♣
Q♥,74,7♥,3♥,10♠,3♠,5♠,6♥,A♥,2♦,2♠,Q♠,8♠,5♦
Q♥,75,J♦,4♦,3♦,3♥,K♣,8♦,6♥,7♦,J♣,9♦,6♣,9♦
Q♥,76,J♠,3♠,3♥,9♥,9♠,6♦,2♣,3♣,10♦,9♣,2♦,Q♦
Q♥,77,5♥,4♦,9♥,7♣,J♥,A♥,6♥,2♥,A♣,4♣,A♦,3♦
Q♥,78,10♠,7♠,K♣,8♣,Q♣,6♣,7♣,9♣,K♥,3♣,A♥,6♥
Q♥,79,8♥,8♠,8♣,10♦,2♦,J♠,9♠,5♣,K♦,A♠,3♥,4♣
Q♥,80,3♠,6♥,4♣,7♦,4♠,J♥,10♦,7♥,9♦,2♥,Q♣,5♣
Q♥,81,4♦,7♣,7♦,6♣,5♠,K♣,10♣,K♥,10♥,5♣,10♦,5♥
Q♥,82,7♠,6♥,A♠,K♦,Q♠,A♥,6♣,A♥,K♠,6♠,Q♠,4♦
Q♥,83,J♥,7♣,K♦,A♣,3♣,4♣,J♣,A♦,J♦,K♥,8♦,5♠
Q♥,84,6♣,2♣,2♠,6♠,4♦,3♠,4♣,10♠,4♠,9♥,7♣,10♥
Q♥,85,5♣,Q♦,K♦,2♣,10♠,8♦,3♠,6♠,A♠,9♦,J♠,J♣
Q♥,86,7♣,J♦,2♣,5♦,6♠,A♠,10♣,7♥,Q♠,3♥,10♣,J♦
Q♥,87,7♦,10♦,3♦,3♥,6♦,6♥,5♦,8♠,8♥,9♠,4♠,3♠
Q♥,88,J♠,J♦,3♥,2♠,2♦,6♣,6♥,9♦,5♠,9♦,4♥,6♦
Q♥,89,K♥,A♣,2♣,3♣,4♣,5♣,6♣,9♥,7♣,8♣,10♠,9♣
Q♥,90,10♣,8♦,K♠,3♥,A♣,Q♣,10♠,10♥,5♣,3♦,Q♥,Q♥
Q♣,0,10♠,5♣,3♦,A♠,7♥,7♦,5♠,10♠,J♥,9♣,Q♣,Q♣
Q♣,1,2♥,10♦,Q♥,4♣,Q♦,2♣,A♠,5♣,9♥,4♦,10♦,3♥
Q♣,2,3♥,5♦,4♣,7♠,J♣,9♥,10♣,3♦,K♦,7♣,Q♠,A♥
Q♣,3,3♣,6♥,8♥,10♥,7♦,4♠,7♠,A♠,J♠,4♦,8♦,A♦
Q♣,4,10♠,8♣,10♥,9♣,5♣,J♠,A♥,7♥,Q♠,10♦,7♣,2♦
Q♣,5,2♦,J♣,9♣,4♥,K♠,7♣,2♥,7♦,J♠,J♦,J♠,6♣
Q♣,6,7♣,8♦,8♥,9♦,2♣,5♥,9♥,5♠,Q♥,A♠,10♣,8♠
Q♣,7,4♣,J♣,9♦,3♥,2♠,Q♠,A♥,2♥,5♠,3♠,4♠,K♣
Q♣,8,K♣,8♦,3♥,4♦,J♦,9♣,K♠,10♦,4♠,A♣,4♥,2♠
Q♣,9,5♥,J♣,6♦,K♠,4♥,2♥,10♠,Q♥,4♦,7♠,10♠,6♠
Q♣,10,2♥,3♥,K♣,A♠,7♥,10♣,J♣,4♣,8♣,6♥,Q♥,9♠
Q♣,11,8♠,2♣,A♠,4♠,10♥,8♣,3♦,Q♦,4♦,3♣,9♣,K♥
Q♣,12,J♠,5♦,5♣,8♥,7♣,A♦,4♠,2♣,8♦,6♥,6♦,2♣
Q♣,13,3♥,9♥,8♥,J♥,Q♦,8♦,A♣,A♠,Q♠,2♦,3♠,A♠
Q♣,14,7♦,7♥,J♥,9♦,7♣,2♥,8♦,3♥,A♦,6♠,J♦,7♥
Q♣,15,Q♥,10♣,9♦,4♣,4♦,K♠,J♦,5♦,2♥,J♣,J♣,8♥
Q♣,16,7♣,10♠,8♥,Q♦,K♥,4♥,10♦,4♣,9♣,4♠,10♥,7♠
Q♣,17,8♠,K♣,3♠,6♥,8♣,7♠,Q♦,7♠,2♣,4♦,5♠,K♦
Q♣,18,7♥,9♥,6♥,3♥,5♣,2♣,A♥,J♣,Q♠,10♣,4♦,3♣
Q♣,19,4♣,K♥,3♥,8♦,4♠,6♦,2♣,9♥,3♣,2♠,5♥,5♦
Q♣,20,7♣,4♥,3♠,K♥,K♦,K♣,6♦,10♣,J♠,J♣,5♣,9♦
Q♣,21,6♣,8♦,K♥,7♦,9♦,Q♠,3♦,3♣,6♠,10♦,4♣,Q♦
Q♣,22,10♠,4♥,7♦,8♠,J♥,2♣,6♦,6♥,2♥,9♣,6♥,3♦
Q♣,23,3♥,5♥,K♦,8♣,9♠,8♥,8♠,8♥,Q♦,5♠,3♦,6♥
Q♣,24,5♣,7♠,8♣,6♠,7♥,6♣,9♦,10♥,4♦,6♥,Q♦,4♣
Q♣,25,8♦,6♦,9♣,9♥,A♦,J♥,6♠,7♦,J♣,A♣,9♦,5♣
Q♣,26,4♥,8♠,9♥,8♥,4♠,K♦,2♦,4♠,10♣,Q♥,5♦,5♥
Q♣,27,5♥,6♦,6♥,4♦,2♠,2♣,8♥,7♠,K♠,5♦,3♣,4♦
Q♣,28,J♥,8♠,4♦,2♥,5♠,9♣,J♠,10♠,7♣,Q♦,K♦,5♠
Q♣,29,8♥,3♦,3♣,5♦,4♥,8♦,9♣,8♣,A♦,7♦,7♠,10♥
Q♣,30,Q♥,J♦,4♦,3♦,3♥,K♣,8♦,10♥,6♥,J♣,8♥,J♣
Q♣,31,8♠,7♣,3♦,10♥,5♦,6♥,2♦,9♣,2♠,K♥,7♥,J♦
Q♣,32,9♥,6♠,3♠,K♥,Q♠,6♦,10♥,5♣,5♣,9♦,A♠,3♠
Q♣,33,6♣,7♣,K♥,3♣,7♥,8♥,6♦,J♠,4♠,J♣,2♣,6♦
Q♣,34,Q♦,2♥,3♦,5♠,9♣,Q♥,8♥,A♥,8♠,8♣,K♥,9♣
Q♣,35,2♦,K♣,K♠,K♥,2♥,9♠,3♥,2♦,Q♥,3♠,9♠,Q♥
Q♣,36,9♣,J♦,3♦,6♥,7♦,4♥,J♥,J♣,Q♠,5♦,6♠,10♠
Q♣,37,Q♥,7♠,6♥,A♠,K♦,Q♠,A♥,9♣,6♣,K♠,2♠,4♥
Q♣,38,10♠,8♠,A♠,6♠,9♠,5♠,6♦,4♥,5♣,10♣,K♣,4♠
Q♣,39,A♦,K♠,K♣,2♥,8♠,8♦,J♦,K♠,5♠,5♦,8♠,10♣
Q♣,40,8♣,4♠,Q♠,9♣,2♦,K♥,K♣,7♣,2♠,5♥,6♣,J♠
Q♣,41,6♥,A♥,9♣,4♣,9♦,7♠,K♥,2♥,Q♥,7♣,2♦,7♣
Q♣,42,K♠,2♦,A♣,A♦,10♣,5♠,5♣,7♣,7♠,K♦,A♦,8♦
Q♣,43,3♠,3♦,3♣,7♥,6♠,6♦,10♣,8♦,10♥,9♠,A♥,Q♠
Q♣,44,K♣,A♦,2♦,3♦,4♦,5♦,6♦,8♥,9♥,8♦,3♥,10♦
Q♣,45,10♠,5♣,3♦,A♠,7♥,9♥,5♠,9♦,J♥,9♣,Q♣,Q♣
Q♣,46,A♣,10♦,Q♥,4♣,Q♦,2♣,A♠,2♣,7♦,4♦,10♦,3♥
Q♣,47,3♥,5♦,4♣,7♠,J♣,7♦,10♣,5♥,K♦,7♣,Q♠,A♥
Q♣,48,3♣,6♥,8♥,10♥,9♥,4♠,7♠,9♥,J♠,4♦,8♦,A♦
Q♣,49,10♠,8♣,10♥,9♣,5♣,J♠,A♥,4♣,Q♠,10♦,7♣,2♦
Q♣,50,2♦,J♣,9♣,4♥,K♠,7♣,A♣,J♣,J♠,J♦,J♠,6♣
Q♣,51,7♣,8♦,8♥,9♦,2♣,5♥,7♦,9♦,Q♥,A♠,10♣,8♠
Q♣,52,4♣,J♣,9♦,3♥,2♠,Q♠,A♥,3♥,5♠,3♠,4♠,K♣
Q♣,53,K♣,8♦,3♥,4♦,J♦,9♣,K♠,2♠,4♠,2♥,4♥,2♠
Q♣,54,5♥,J♣,6♦,K♠,4♥,A♣,10♠,Q♠,4♦,7♠,10♠,6♠
Q♣,55,A♣,3♥,K♣,A♠,7♥,10♣,J♣,A♥,8♣,6♥,Q♥,9♠
Q♣,56,8♠,2♣,A♠,4♠,10♥,8♣,3♦,K♣,4♦,3♣,9♣,K♥
Q♣,57,J♠,5♦,5♣,8♥,7♣,A♦,4♠,8♦,8♦,6♥,6♦,2♣
Q♣,58,3♥,7♦,8♥,J♥,Q♦,8♦,2♥,3♥,Q♠,2♦,3♠,A♠
Q♣,59,9♥,7♥,J♥,9♦,7♣,A♣,8♦,4♦,A♦,6♠,J♦,7♥
Q♣,60,Q♥,10♣,9♦,4♣,4♦,K♠,J♦,J♦,A♣,J♣,J♣,8♥
Q♣,61,7♣,10♠,8♥,Q♦,K♥,4♥,10♦,9♣,9♣,4♠,10♥,7♠
Q♣,62,8♠,K♣,3♠,6♥,8♣,7♠,Q♦,K♠,2♣,4♦,5♠,K♦
Q♣,63,7♥,7♦,6♥,3♥,5♣,2♣,A♥,5♥,Q♠,10♣,4♦,3♣
Q♣,64,4♣,K♥,3♣,8♦,4♠,6♦,2♣,J♣,3♣,2♠,5♥,5♦
Q♣,65,7♣,4♥,3♠,K♥,K♦,K♣,6♦,6♦,J♠,J♣,5♣,9♦
Q♣,66,6♣,8♦,K♥,9♥,9♦,Q♠,3♦,K♠,6♠,10♦,4♣,Q♦
Q♣,67,10♠,4♥,9♥,8♠,J♥,2♣,6♦,4♥,A♣,9♣,6♥,3♦
Q♣,68,3♥,5♥,K♦,8♣,9♠,8♥,8♠,2♥,Q♦,5♠,3♦,6♥
Q♣,69,5♣,7♠,8♣,6♠,7♥,6♣,9♦,10♠,4♦,6♥,Q♦,4♣
Q♣,70,8♦,6♦,9♣,7♦,A♦,J♥,6♠,2♥,J♣,2♥,9♦,5♣
Q♣,71,4♥,8♠,7♦,8♥,4♠,K♦,2♦,3♥,10♣,Q♥,5♦,5♥
Q♣,72,5♥,6♦,6♥,4♦,2♠,2♣,8♥,K♣,K♠,5♦,3♣,4♦
Q♣,73,J♥,8♠,4♦,A♣,5♠,9♣,J♠,A♠,7♣,Q♦,K♦,5♠
Q♣,74,8♥,3♦,3♣,5♦,4♥,8♦,9♣,7♥,A♦,9♥,7♠,10♥
Q♣,75,Q♥,J♦,4♦,3♦,3♥,K♣,8♦,10♣,6♥,J♣,8♥,J♣
Q♣,76,8♠,7♣,3♦,10♥,5♦,6♥,2♦,J♣,2♠,K♥,7♥,J♦
Q♣,77,7♦,6♠,3♠,K♥,Q♠,6♦,10♥,8♠,5♣,9♦,A♠,3♠
Q♣,78,6♣,7♣,K♥,3♣,7♥,8♥,6♦,2♣,4♠,J♣,2♣,6♦
Q♣,79,Q♦,A♣,3♦,5♠,9♣,Q♥,8♥,A♠,8♠,8♣,K♥,9♣
Q♣,80,2♦,K♣,K♠,K♥,A♣,9♠,3♥,4♠,Q♥,3♠,9♠,Q♥
Q♣,81,9♣,J♦,3♦,6♥,9♥,4♥,J♥,10♥,Q♠,5♦,6♠,10♠
Q♣,82,Q♥,7♠,6♥,A♠,K♦,Q♠,A♥,8♣,6♣,K♠,2♠,4♥
Q♣,83,10♠,8♠,A♠,6♠,9♠,5♠,6♦,3♦,5♣,10♣,K♣,4♠
Q♣,84,A♦,K♠,K♣,A♣,8♠,8♦,J♦,J♠,5♠,5♦,8♠,10♣
